scientific_name,common_name,taxonomic_order,n_checklists,total_count,max_count,has_breeding_code,has_media,n_localities,frequency
Pluvialis dominica,American Golden-Plover,5758,3,385.0,300.0,False,1,3,0.0124
Setophaga virens,Black-throated Green Warbler,33928,3,3.0,1.0,False,0,2,0.0124
Spatula discors,Blue-winged Teal,468,3,8.0,4.0,False,0,2,0.0124
Lophodytes cucullatus,Hooded Merganser,729,3,44.0,40.0,False,0,3,0.0124
Euphagus carolinus,Rusty Blackbird,33571,3,24.0,15.0,False,0,2,0.0124
Petrochelidon pyrrhonota,Cliff Swallow,24051,2,79.0,75.0,False,0,2,0.0083
Tachycineta bicolor,Tree Swallow,23834,2,9.0,7.0,False,0,2,0.0083
Vireo olivaceus,Red-eyed Vireo,19067,2,2.0,1.0,False,0,2,0.0083
Ardea ibis,Western Cattle-Egret,7631,2,5.0,4.0,False,0,1,0.0083
Anthus rubescens,American Pipit,31605,2,4.0,3.0,False,0,2,0.0083
Buteo platypterus,Broad-winged Hawk,8383,2,4.0,3.0,False,0,2,0.0083
Certhia americana,Brown Creeper,26777,2,2.0,1.0,False,0,2,0.0083
Dryobates villosus,Hairy Woodpecker,11314,2,2.0,1.0,False,0,2,0.0083
Falco peregrinus,Peregrine Falcon,11997,2,2.0,1.0,False,1,1,0.0083
Pandion haliaetus,Osprey,7737,2,2.0,1.0,True,0,2,0.0083
Fulica americana,American Coot,5443,1,1.0,1.0,False,0,1,0.0041
Falco columbarius,Merlin,11947,1,1.0,1.0,False,0,1,0.0041
Gavia immer,Common Loon,6854,1,2.0,2.0,False,1,1,0.0041
Dumetella carolinensis,Gray Catbird,27758,1,2.0,2.0,True,0,1,0.0041
Dryobates borealis,Red-cockaded Woodpecker,11313,1,6.0,6.0,False,0,1,0.0041
Anser caerulescens,Snow Goose,257,1,1.0,1.0,False,0,1,0.0041
Bubo virginianus,Great Horned Owl,8811,1,1.0,1.0,False,0,1,0.0041
Bucephala albeola,Bufflehead,717,1,1.0,1.0,False,0,1,0.0041
Anhinga anhinga,Anhinga,7283,1,2.0,2.0,False,0,1,0.0041
Limnothlypis swainsonii,Swainson's Warbler,33687,1,1.0,1.0,False,0,1,0.0041
Meleagris gallopavo,Wild Turkey,1242,1,3.0,3.0,False,0,1,0.0041
Sitta canadensis,Red-breasted Nuthatch,26688,1,1.0,1.0,False,0,1,0.0041
Troglodytes aedon,Northern House Wren,26942,1,1.0,1.0,False,0,1,0.0041
Tringa solitaria,Solitary Sandpiper,6067,1,1.0,1.0,False,0,1,0.0041
Tringa melanoleuca,Greater Yellowlegs,6092,1,1.0,1.0,False,0,1,0.0041
Tringa flavipes,Lesser Yellowlegs,6083,1,2.0,2.0,False,0,1,0.0041
