"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
1,7.76770509781824e-05,0.377998854722682,0.593390360502227,10.9339680111571,56048.2390855751,5.32773996922745,205.971944800796,-2.24597128939853,0.0956975401627814,0.278056974700393,0.843057897526397,0.213090120782308
2,0.0115141776601224,-0.861230897648621,0.297082240028577,9.8620771715885,19188.7063034491,5.27582023234583,195.550807846938,-3.04647109924449,0.0453700709415014,0.120056468097854,0.65199471503011,0.0621189598659075
3,0.000348554773014449,-0.115073482884608,0.471263332970627,9.37879319967509,11834.7239841178,5.4161213090813,225.004704096471,-3.26159663495651,0.0369124071270247,0.196629174743633,0.598266236977661,0.0828873236519139
4,0.00016803596286605,0.459018661666071,0.61278134960628,10.9160625682451,55053.6018243141,5.08349151610587,161.336382248728,-2.06442611561241,0.112602798587165,0.188619702538179,0.81744341535604,0.259914738125109
5,0.000250202809087202,0.431810611931991,0.606305942859104,10.4484116202463,34489.5486776924,5.27627174773989,195.639121983098,-2.81439749784556,0.056551102735329,0.119917991571696,1.13617266256743,0.242536030499579
6,9.0143705740861e-06,0.384826194158281,0.595036592903962,10.6204506007415,40964.0692106285,5.02879706297102,152.749154518765,-2.07152081265635,0.11189581835386,0.350130322530982,0.897978279188068,0.246567014297059
7,3.32826900107824e-05,0.853754270811686,0.701354092969345,10.2893353461582,29417.2155876943,6.80283142326869,900.393079764786,-2.44545799131873,0.0797713326036986,0.559509005763699,0.899435487755543,0.372178284705021
8,8.44709641186785e-05,0.411180860240363,0.601370993153517,10.8427224114092,51160.4684085977,5.14850888444545,172.1745666386,-2.10786890003243,0.108334355043288,0.245299662554593,0.947792389030188,0.359420533915933
9,4.0554790496627e-06,0.30570365606499,0.57583622740359,10.8689797558169,52521.5980713685,5.08196082002951,161.089614193076,-2.01792665710404,0.117333549202254,0.329356318922389,1.01845670468903,0.276359945400915
10,8.88274413390833e-05,0.764634138499748,0.68235900876317,10.0083875783154,22211.9914695687,6.73408700289171,840.575690469091,-2.23400663546352,0.0967379761125392,0.552041152299236,1.09599870223328,0.349355029559853
